Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances
robert-lewandowski,Barcelona,7.2151515151515,238.1,17,8,17.4338,3.22655253,380,153,533,20,5,0,41,91,2617,33
lamine-yamal,Barcelona,7.3257142857143,256.4,5,4,5.138,6.13099375,793,152,945,63,2,0,20,55,2045,35
joao-felix,Barcelona,7.0571428571429,197.6,7,3,8.3062,2.56542707,507,101,608,26,3,0,23,57,1492,28
raphinha,Barcelona,7.2962962962963,197.0,6,9,7.3474,4.95081539,455,111,566,24,3,1,21,58,1317,27
vitor-roque,Barcelona,6.5166666666667,78.2,2,0,2.4997,0.03229282,40,14,54,4,2,1,6,12,293,12
ferran-torres,Barcelona,6.9259259259259,187.0,7,2,5.5106,1.80653551,325,82,407,10,2,0,15,38,1185,28
pedri,Barcelona,7.1727272727273,157.8,2,2,2.1414,3.9400891,934,131,1065,15,3,0,4,11,1369,22
frenkie-de-jong,Barcelona,7.445,148.9,2,0,0.6997,4.8796073,1526,113,1639,13,7,0,4,7,1637,20
gavi,Barcelona,7.1333333333333,85.6,1,1,0.9486,1.37264491,481,45,526,12,5,0,4,9,943,12
ilkay-gundogan,Barcelona,7.4735294117647,254.1,5,8,7.2988,9.69657549,1916,210,2126,32,5,0,17,43,2817,34
fermin-lopez,Barcelona,6.9035714285714,193.3,7,0,7.4464,1.02207383,462,83,545,21,2,0,23,47,1314,29
oriol-romeu,Barcelona,6.84,171.0,0,1,0.7006,0.86125744,669,81,750,4,4,0,2,10,901,27
joao-cancelo,Barcelona,7.2466666666667,217.4,2,3,1.4802,6.07705712,1242,234,1476,57,5,0,9,30,2332,30
ronald-araujo,Barcelona,7.0166666666667,168.4,1,1,2.1166,1.54323914,1376,162,1538,8,6,0,9,23,1966,24
