Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
robert-lewandowski,Barcelona,7.2205882352941,245.5,18,8,17.7236,3.2320158,390,155,545,22,5,0,42,93,2696,34,41789
lamine-yamal,Barcelona,7.3416666666667,264.3,5,5,5.1972,6.46562375,837,161,998,67,3,0,20,57,2135,36,1402912
joao-felix,Barcelona,7.048275862069,204.4,7,3,8.5718,2.56749841,516,101,617,29,3,0,24,59,1520,29,851671
raphinha,Barcelona,7.2821428571429,203.9,6,9,7.3826,4.99490999,475,112,587,24,4,1,22,59,1379,28,831005
vitor-roque,Barcelona,6.5076923076923,84.6,2,0,2.5387,0.04029001,45,14,59,4,2,1,6,13,304,13,1150391
ferran-torres,Barcelona,6.9259259259259,187.0,7,2,5.5106,1.80653551,325,82,407,10,2,0,15,38,1185,28,855833
pedri,Barcelona,7.2217391304348,166.1,4,2,2.5708,3.9504189,955,137,1092,15,3,0,6,13,1397,23,992587
frenkie-de-jong,Barcelona,7.445,148.9,2,0,0.6997,4.8796073,1526,113,1639,13,7,0,4,7,1637,20,795222
gavi,Barcelona,7.1333333333333,85.6,1,1,0.9486,1.37264491,481,45,526,12,5,0,4,9,943,12,1103693
ilkay-gundogan,Barcelona,7.48,261.8,5,8,7.2988,9.78016149,2005,212,2217,34,5,0,17,43,2907,35,45853
fermin-lopez,Barcelona,6.8965517241379,200.0,7,0,7.5215,1.03942503,479,87,566,21,2,0,24,49,1376,30,1153270
oriol-romeu,Barcelona,6.84,171.0,0,1,0.7006,0.86125744,669,81,750,4,4,0,2,10,901,27,69416
marc-casado,Barcelona,6.85,13.7,0,0,,0.00347173,6,0,6,0,0,0,0,0,18,2,1000483
joao-cancelo,Barcelona,7.2322580645161,224.2,2,3,1.4802,6.13057972,1287,236,1523,58,6,0,9,30,2422,31,138892
ronald-araujo,Barcelona,7.028,175.7,1,2,2.1166,1.74412614,1423,165,1588,8,6,0,9,23,1994,25,925097
jules-kounde,Barcelona,7.1617647058824,243.5,1,2,2.0684,2.55348589,2231,223,2454,16,4,0,7,24,2809,34,827212
alejandro-balde,Barcelona,6.8444444444444,123.2,0,1,0.1465,1.50707323,592,77,669,20,1,0,1,5,1378,18,997035
andreas-christensen,Barcelona,6.8896551724138,199.8,2,2,0.9389,0.78907809,1436,89,1525,3,4,0,4,11,1945,29,186795
pau-cubarsi,Barcelona,7.0,126.0,0,0,0.0921,0.38415235,1289,119,1408,3,4,0,0,3,1472,18,1402913
sergi-roberto,Barcelona,7.0428571428571,98.6,3,2,1.675,0.76727121,570,61,631,3,4,0,4,10,863,14,123976
marcos-alonso,Barcelona,7.02,35.1,0,0,0.0951,0.32722638,153,19,172,3,0,0,2,3,250,5,69408
