Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media
Real Madrid;Bellingham;Centrocampista;302;53000000;28;15;13;10.79
Girona;Dovbyk;Delantero;262;24000000;36;17;19;7.28
Girona;Sávio;Delantero;257;10000000;37;18;19;6.95
Athletic;Williams;Delantero;248;34000000;34;18;16;7.29
Villarreal;Sørloth;Delantero;248;30000000;34;17;17;7.29
Girona;Aleix García;Centrocampista;246;26000000;37;18;19;6.65
Barcelona;Yamal;Delantero;244;8000000;37;18;19;6.59
Betis;Isco;Centrocampista;242;16000000;29;14;15;8.34
Celta;Iago Aspas;Delantero;241;45000000;35;18;17;6.89
Atlético;Griezmann;Delantero;238;71000000;33;17;16;7.21
Valencia;Pepelu;Centrocampista;238;11000000;37;19;18;6.43
Real Madrid;Valverde;Centrocampista;237;39000000;37;19;18;6.41
Osasuna;Budimir;Delantero;228;17000000;33;17;16;6.91
Barcelona;Gündogan;Centrocampista;226;41000000;36;19;17;6.28
Real Madrid;Kroos;Centrocampista;219;33000000;33;18;15;6.64
Barcelona;Lewandowski;Delantero;218;66000000;35;18;17;6.23
Las Palmas;Kirian;Centrocampista;217;9000000;37;19;18;5.86
Real Sociedad;Kubo;Centrocampista;213;38000000;30;18;12;7.10
Athletic;Guruzeta;Delantero;211;12000000;32;17;15;6.59
Real Madrid;Rodrygo;Delantero;209;47000000;34;18;16;6.15
Real Madrid;Vinícius Jr;Delantero;207;69000000;26;13;13;7.96
Celta;Larsen;Delantero;207;14000000;37;19;18;5.59
Getafe;Greenwood;Delantero;204;21000000;33;17;16;6.18
Girona;Miguel Gutiérrez;Defensa;203;13000000;35;18;17;5.80
Real Sociedad;Brais Méndez;Centrocampista;202;28000000;32;16;16;6.31
Villarreal;Baena;Centrocampista;202;28000000;34;16;18;5.94
Villarreal;Gerard Moreno;Delantero;200;40000000;30;15;15;6.67
Rayo Vallecano;Lejeune;Defensa;200;14000000;37;19;18;5.41
Girona;Eric García;Defensa;200;11000000;32;16;16;6.25
Las Palmas;Álvaro Valles;Portero;199;10000000;37;18;19;5.38
Valencia;Hugo Duro;Delantero;199;9000000;37;19;18;5.38
Real Madrid;Modric;Centrocampista;197;30000000;32;15;17;6.16
Real Sociedad;Mikel Merino;Centrocampista;196;38000000;32;15;17;6.13
Real Madrid;Brahim;Delantero;196;36000000;31;16;15;6.32
Girona;Iván Martín;Centrocampista;196;11000000;36;18;18;5.44
Barcelona;Fermín;Centrocampista;195;7000000;31;15;16;6.29
Athletic;Nico Williams;Delantero;192;35000000;31;16;15;6.19
Girona;Tsygankov;Delantero;191;32000000;30;15;15;6.37
Getafe;David Soria;Portero;189;17000000;38;19;19;4.97
Celta;Mingueza;Defensa;189;9000000;38;19;19;4.97
Real Sociedad;Remiro;Portero;188;19000000;37;19;18;5.08
Real Madrid;Carvajal;Defensa;187;20000000;28;14;14;6.68
