Equipo,Jugador,Posición,Puntos,Precio,PJ,Casa,Fuera,Media,Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
Real Madrid,Bellingham,Centrocampista,302,53000000,28,15,13,10.79,jude-bellingham,Real Madrid,8.0740740740741,218.0,19,6,11.0173,4.25704514,1285,150,1435,48,5,1,34,61,2234,27,991011
Girona,Dovbyk,Delantero,262,24000000,36,17,19,7.28,mamadou-mbaye,Cádiz CF,6.8,27.2,0,0,0.3444,0.01396359,47,36,83,0,2,0,1,2,286,4,921621
Girona,Sávio,Delantero,257,10000000,37,18,19,6.95,gavi,Barcelona,7.1333333333333,85.6,1,1,0.9486,1.37264491,481,45,526,12,5,0,4,9,943,12,1103693
Athletic,Williams,Delantero,248,34000000,34,18,16,7.29,nico-williams,Athletic Club,7.0966666666667,212.9,4,11,5.1499,7.45763176,504,132,636,84,4,1,18,52,2190,30,1085400
Villarreal,Sørloth,Delantero,248,30000000,34,17,17,7.29,alexander-sorloth,Villarreal CF,7.2060606060606,237.8,23,6,12.2817,2.94650844,353,108,461,30,3,0,36,77,2474,33,309078
Girona,Aleix García,Centrocampista,246,26000000,37,18,19,6.65,raul-garcia,Athletic Club,6.5736842105263,124.9,1,0,0.9249,0.50588348,70,44,114,2,4,0,1,10,386,19,4581
Barcelona,Yamal,Delantero,244,8000000,37,18,19,6.59,lamine-yamal,Barcelona,7.3416666666667,264.3,5,5,5.1972,6.46562375,837,161,998,67,3,0,20,57,2135,36,1402912
Betis,Isco,Centrocampista,242,16000000,29,14,15,8.34,isco,Real Betis,7.5206896551724,218.1,8,5,8.3004,6.35575127,1151,184,1335,76,10,0,26,64,2338,29,103417
Celta,Iago Aspas,Delantero,241,45000000,35,18,17,6.89,iago-aspas,Celta de Vigo,7.5264705882353,255.9,8,9,10.594,9.13864382,884,239,1123,29,6,1,27,77,2640,34,19356
Atlético,Griezmann,Delantero,238,71000000,33,17,16,7.21,antoine-griezmann,Atlético Madrid,7.459375,238.7,16,6,12.4435,5.74941775,1000,211,1211,22,5,0,34,79,2564,32,85859
Valencia,Pepelu,Centrocampista,238,11000000,37,19,18,6.43,pepelu,Valencia CF,7.2444444444444,260.8,7,1,7.2759,4.48117713,1571,342,1913,12,4,0,12,35,3215,36,826948
Real Madrid,Valverde,Centrocampista,237,39000000,37,19,18,6.41,federico-valverde,Real Madrid,7.3888888888889,266.0,2,7,3.5006,3.34691765,1832,178,2010,22,2,0,19,55,2820,36,831808
Osasuna,Budimir,Delantero,228,17000000,33,17,16,6.91,ante-budimir,CA Osasuna,7.19375,230.2,16,2,13.8105,1.78688083,231,189,420,10,4,0,32,74,2395,32,37318
Barcelona,Gündogan,Centrocampista,226,41000000,36,19,17,6.28,ilkay-gundogan,Barcelona,7.48,261.8,5,8,7.2988,9.78016149,2005,212,2217,34,5,0,17,43,2907,35,45853
Real Madrid,Kroos,Centrocampista,219,33000000,33,18,15,6.64,toni-kroos,Real Madrid,7.61875,243.8,1,8,1.5828,5.73381272,2134,124,2258,5,3,0,12,34,2048,32,26502
Barcelona,Lewandowski,Delantero,218,66000000,35,18,17,6.23,robert-lewandowski,Barcelona,7.2205882352941,245.5,18,8,17.7236,3.2320158,390,155,545,22,5,0,42,93,2696,34,41789
Las Palmas,Kirian,Centrocampista,217,9000000,37,19,18,5.86,iker-muniain,Athletic Club,6.775,135.5,2,0,1.744,1.31164373,336,42,378,13,1,0,7,13,607,20,71707
Real Sociedad,Kubo,Centrocampista,213,38000000,30,18,12,7.1,koke,Atlético Madrid,7.0424242424242,232.4,0,4,0.4174,2.83876056,1989,199,2188,5,4,0,2,10,2412,34,84539
Athletic,Guruzeta,Delantero,211,12000000,32,17,15,6.59,gorka-guruzeta,Athletic Club,7.190625,230.1,14,5,11.7074,1.76133927,418,183,601,19,2,0,31,64,2240,32,605672
Real Madrid,Rodrygo,Delantero,209,47000000,34,18,16,6.15,rodrygo,Real Madrid,7.2969696969697,240.8,10,5,11.642,3.63286025,826,95,921,59,2,0,36,86,2298,33,910536
Real Madrid,Vinícius Jr,Delantero,207,69000000,26,13,13,7.96,vinicius-junior,Real Madrid,7.36,184.0,15,5,12.818,4.28906445,467,129,596,63,7,0,38,76,1782,25,868812
Celta,Larsen,Delantero,207,14000000,37,19,18,5.59,carles-alena,Getafe CF,6.6464285714286,186.1,1,1,1.2436,1.03809802,287,65,352,6,6,0,5,16,993,28,794937
Getafe,Greenwood,Delantero,204,21000000,33,17,16,6.18,mason-greenwood,Getafe CF,7.134375,228.3,8,6,8.3954,4.25528421,719,164,883,71,6,0,33,95,2577,32,942116
Girona,Miguel Gutiérrez,Defensa,203,13000000,35,18,17,5.8,miguel-rodriguez,Celta de Vigo,6.4916666666667,77.9,0,0,0.1419,0.13930224,50,14,64,3,2,0,0,5,241,14,1014118
Real Sociedad,Brais Méndez,Centrocampista,202,28000000,32,16,16,6.31,brais-mendez,Real Sociedad,7.1903225806452,222.9,5,6,4.0226,4.37941219,853,204,1057,24,6,0,16,62,2330,31,845385
Villarreal,Baena,Centrocampista,202,28000000,34,16,18,5.94,inaki-pena,Barcelona,6.64,66.4,0,0,,0.00277791,213,38,251,0,0,0,0,0,900,10,794949
Villarreal,Gerard Moreno,Delantero,200,40000000,30,15,15,6.67,gerard-moreno,Villarreal CF,7.3466666666667,220.4,10,6,9.6832,4.61652218,766,197,963,43,0,0,21,63,2229,30,146866
Rayo Vallecano,Lejeune,Defensa,200,14000000,37,19,18,5.41,djene,Getafe CF,6.7125,214.8,0,0,0.1261,0.66982368,793,219,1012,18,12,1,1,6,2419,32,307702
Girona,Eric García,Defensa,200,11000000,32,16,16,6.25,fran-garcia,Real Madrid,6.95,166.8,1,5,0.5086,1.83855494,722,91,813,8,2,0,1,9,1409,25,851271
Las Palmas,Álvaro Valles,Portero,199,10000000,37,18,19,5.38,alvaro-valles,Las Palmas,7.1611111111111,257.8,0,0,0.0,0.06005222,1325,359,1684,1,2,1,0,0,3174,36,964983
Valencia,Hugo Duro,Delantero,199,9000000,37,19,18,5.38,hugo-duro,Valencia CF,7.0138888888889,252.5,13,2,11.5354,0.6050613,401,151,552,13,4,0,29,66,2981,36,909119
Real Madrid,Modric,Centrocampista,197,30000000,32,15,17,6.16,luka-modric,Real Madrid,7.358064516129,228.1,2,6,1.2848,4.7580484,1407,138,1545,20,2,0,10,24,1669,31,15466
Real Sociedad,Mikel Merino,Centrocampista,196,38000000,32,15,17,6.13,mikel-merino,Real Sociedad,7.21875,231.0,5,3,3.2992,2.76313889,1069,311,1380,24,10,0,11,30,2485,32,592010
Real Madrid,Brahim,Delantero,196,36000000,31,16,15,6.32,brahim-diaz,Real Madrid,7.2,216.0,8,6,5.6762,4.66331376,607,90,697,55,0,0,17,38,1582,31,835485
Girona,Iván Martín,Centrocampista,196,11000000,36,18,18,5.44,inigo-martinez,Barcelona,7.0105263157895,133.2,0,0,0.37,0.4563035,948,123,1071,0,5,0,1,8,1212,19,173883
Barcelona,Fermín,Centrocampista,195,7000000,31,15,16,6.29,fermin-lopez,Barcelona,6.8965517241379,200.0,7,0,7.5215,1.03942503,479,87,566,21,2,0,24,49,1376,30,1153270
Athletic,Nico Williams,Delantero,192,35000000,31,16,15,6.19,nico-williams,Athletic Club,7.0966666666667,212.9,4,11,5.1499,7.45763176,504,132,636,84,4,1,18,52,2190,30,1085400
Girona,Tsygankov,Delantero,191,32000000,30,15,15,6.37,sergi-canos,Valencia CF,6.832,170.8,1,2,2.4844,1.47080371,226,104,330,17,2,0,17,40,1165,26,790833
Getafe,David Soria,Portero,189,17000000,38,19,19,4.97,david-soria,Getafe CF,7.0918918918919,262.4,0,0,0.0,0.11394329,555,592,1147,0,3,0,0,0,3330,37,604258
Celta,Mingueza,Defensa,189,9000000,38,19,19,4.97,oscar-mingueza,Celta de Vigo,7.0081081081081,259.3,2,2,2.613,6.10360933,1224,290,1514,35,4,0,12,27,2912,37,859773
